gsn,atc,atc_manually_checked,ndc,ndc_match
000015,C01AA05,False,24987026010,gsn
000016,C01AA05,False,24208036067,atc
000017,C01AA05,False,24208036067,gsn
000018,C01AA05,False,10135053401,gsn
000019,C01AA05,False,10135053501,gsn
000033,D11AX26,False,10135017510,gsn
000076,R03DA04,False,10350011216,gsn
000090,R03DA04,False,11845035801,gsn
000091,R03DA04,False,11845035901,gsn
000093,R03DA04,False,11845036001,gsn
000114,R03DA05,False,?,none
000122,R03DA05,False,?,none
000141,C01CA07,False,74472901,gsn
000212,H02AB08,True,52959137503,gsn
000213,R01AD04,False,52959013100,gsn
000214,C01BA01,True,10876040801,atc
000215,C01BA01,False,11845013701,gsn
000222,C01BA01,False,10754083601,gsn
000223,C01BA01,False,10876040801,gsn
000225,C01BA02,False,?,none
000230,C01BA02,False,?,none
000231,C01BA02,False,?,none
000238,C01BA02,False,?,none
000239,C01BA03,False,17236051401,gsn
000240,C01BA03,False,17236051501,gsn
000241,C01BA03,False,17236068101,gsn
000242,C01BA03,False,17236068201,gsn
000253,S02DA01,False,12280046501,atc
000259,S02DA01,False,12280046501,atc
000263,C01BC04,False,29336030710,gsn
000265,C01BC04,False,29336030510,gsn
000266,C01BD01,False,13107005605,gsn
000267,C01BB02,False,42291062401,gsn
000268,C01BB02,False,42291062501,gsn
000269,C01BB02,False,42291062601,gsn
000283,C02DB02,False,17478083401,gsn
000284,C02DB02,False,10754095401,gsn
000286,C02DB02,False,10754095501,gsn
000287,C02DB02,False,10754095601,gsn
000291,C02CA01,False,10135066601,gsn
000293,C02CA01,False,10135066801,gsn
000298,C02DA01,False,13517010030,gsn
000299,C02DC01,False,11845028301,gsn
000300,C02DC01,False,11845030201,gsn
000326,C02AA02,False,10754060360,gsn
000343,C02AC01,False,16590047704,gsn
000344,C02AC01,False,35356080604,gsn
000345,C02AC01,False,16590047630,gsn
000346,C02AC01,False,11845019101,gsn
000347,C02AC01,False,10544019990,gsn
000348,C02AC01,False,11845019301,gsn
000361,C02AB01,False,11845014201,gsn
000364,C02AC02,False,23490795203,gsn
000378,C09AA01,False,11845112301,gsn
000379,C09AA01,False,11845112001,gsn
000380,C09AA01,False,11845112101,gsn
000381,C09AA01,False,11845112201,gsn
000383,C09AA02,True,15338020030,atc
000384,C09AA02,False,10544063230,gsn
000385,C09AA02,False,15338020030,gsn
000386,C09AA02,False,15338023330,gsn
000387,C09AA02,False,15338021130,gsn
000388,C09AA03,False,12280012630,gsn
000390,C09AA03,False,16590030630,gsn
000391,C09AA03,False,16729019701,gsn
000392,C09AA03,False,16590035660,gsn
000393,C09AA03,False,10544058530,gsn
000435,V08AB02,True,24141204,gsn
000454,C01DA02,False,24090041003,gsn
000455,C01DA02,False,10135019401,gsn
000456,C01DA02,False,10135019501,gsn
000463,C01DA02,True,24090041003,atc
000464,C01DA02,False,17236004230,gsn
000465,C01DA02,True,11845030408,gsn
000466,C01DA02,False,17236097903,gsn
000467,C01DA02,False,29336030102,gsn
000468,C01DA02,True,11845030301,gsn
000474,C01DA02,False,43598043501,gsn
000475,C01DA02,False,17022221409,gsn
000505,C01DA08,False,11289156502,gsn
000507,C01DA08,False,10876032301,gsn
000508,C01DA08,False,10876032401,gsn
000510,C01DA08,False,11845027201,gsn
000511,C01DA08,False,10876032201,gsn
000514,C01DA08,False,10876032501,gsn
000516,C01DA08,False,10876032701,gsn
000517,C01DA08,False,10876032401,atc
000524,A03AD01,False,10135019701,gsn
000526,A03AD01,False,10135019701,atc
000557,C01EA01,False,54569270700,gsn
000561,C08DA01,False,39769010052,gsn
000563,C08DA01,False,51138057910,atc
000564,C08DA01,False,10544057030,gsn
000565,C08DA01,False,23155005901,gsn
000566,C08DA01,False,11845039201,gsn
000567,C08DA01,False,10631049001,gsn
000568,C08CA05,False,11845041000,gsn
000569,C08CA05,False,11845041100,gsn
000571,C05AE03,False,51079092401,gsn
000572,C05AE03,False,51079092501,gsn
000574,C05AE03,False,12280030015,gsn
000575,C05AE03,False,21695040830,gsn
000576,C05AE03,False,35356002700,gsn
000577,C08CA04,False,15330004101,gsn
000578,C08CA04,False,15330004201,gsn
000579,C08CA06,False,23155010800,gsn
000586,A12CA01,False,15686011103,gsn
000587,A12CA01,False,49502004110,gsn
000588,A12CA01,False,49502004010,gsn
000591,R05CB01,False,49502008104,gsn
000592,S01XA08,False,49502008200,gsn
000625,N07XX59,True,10760002804,gsn
000652,R05DA09,False,10939032933,gsn
000759,R05CA03,False,10350006604,gsn
000762,R05CA03,False,11808030001,gsn
001166,B05CB01,True,?,none
001167,B05CB01,True,?,none
001179,B05XA02,True,74553401,gsn
001181,B05CB04,False,24200005180,gsn
001182,B05XA02,True,40986001749,atc
001183,B05XA02,True,40986001749,atc
001185,B05CB04,False,36000002612,gsn
001187,A12AA07,False,54868010200,gsn
001191,B05BB03,True,?,none
001192,N07BB01,False,17022390302,gsn
001194,V03AE01,True,10135014614,gsn
001195,V03AE01,True,54868443900,gsn
001198,A12B,True,74711509,gsn
001202,B05XA01,True,53100086035,gsn
001205,B05XA08,False,55390094020,gsn
001209,A12CA01,False,63323062600,gsn
001210,A12CA01,False,17271070102,gsn
001211,A12CA01,False,63323053021,gsn
001220,B05XA03,False,10039008803,atc
001221,B05XA03,False,10039008803,gsn
001226,A12CA01,False,12120308701,gsn
001233,A06AG01,False,55390096005,gsn
001240,B05XA01,True,17236054503,gsn
001241,B05XA17,False,51754200104,gsn
001248,A12BA01,False,10370022001,gsn
